Size,,,, CPU Time,,Size,,,,CPU Time
1300,10, Adj List, CPU Time,0.000546,,1300,10, Adj Matrix, CPU Time,0.311358
1300,9, Adj List, CPU Time,0.000548,,1300,9, Adj Matrix, CPU Time,0.175459
1300,8, Adj List, CPU Time,0.000554,,1300,8, Adj Matrix, CPU Time,0.125437
1300,7, Adj List, CPU Time,0.000558,,1300,7, Adj Matrix, CPU Time,0.2328
1300,6, Adj List, CPU Time,0.00053,,1300,6, Adj Matrix, CPU Time,0.376265
1300,5, Adj List, CPU Time,0.000536,,1300,5, Adj Matrix, CPU Time,0.207653
1300,4, Adj List, CPU Time,0.00055,,1300,4, Adj Matrix, CPU Time,0.19329
1300,3, Adj List, CPU Time,0.000535,,1300,3, Adj Matrix, CPU Time,0.232682
1300,2, Adj List, CPU Time,0.000556,,1300,2, Adj Matrix, CPU Time,0.15991
1300,1, Adj List, CPU Time,0.000573,,1300,1, Adj Matrix, CPU Time,0.109505
1050,10, Adj List, CPU Time,0.000439,,1050,10, Adj Matrix, CPU Time,0.09027
1050,9, Adj List, CPU Time,0.000439,,1050,9, Adj Matrix, CPU Time,0.135343
1050,8, Adj List, CPU Time,0.000669,,1050,8, Adj Matrix, CPU Time,0.185161
1050,7, Adj List, CPU Time,0.000472,,1050,7, Adj Matrix, CPU Time,0.1123
1050,6, Adj List, CPU Time,0.000452,,1050,6, Adj Matrix, CPU Time,0.123941
1050,5, Adj List, CPU Time,0.00044,,1050,5, Adj Matrix, CPU Time,0.191378
1050,4, Adj List, CPU Time,0.000442,,1050,4, Adj Matrix, CPU Time,0.099581
1050,3, Adj List, CPU Time,0.000441,,1050,3, Adj Matrix, CPU Time,0.118491
1050,2, Adj List, CPU Time,0.00044,,1050,2, Adj Matrix, CPU Time,0.08644
1050,1, Adj List, CPU Time,0.000444,,1050,1, Adj Matrix, CPU Time,0.099803
800,10, Adj List, CPU Time,0.000319,,800,10, Adj Matrix, CPU Time,0.04627
800,9, Adj List, CPU Time,0.000319,,800,9, Adj Matrix, CPU Time,0.129038
800,8, Adj List, CPU Time,0.000319,,800,8, Adj Matrix, CPU Time,0.05559
800,7, Adj List, CPU Time,0.000317,,800,7, Adj Matrix, CPU Time,0.074468
800,6, Adj List, CPU Time,0.000317,,800,6, Adj Matrix, CPU Time,0.075085
800,5, Adj List, CPU Time,0.000317,,800,5, Adj Matrix, CPU Time,0.085122
800,4, Adj List, CPU Time,0.000318,,800,4, Adj Matrix, CPU Time,0.054802
800,3, Adj List, CPU Time,0.00032,,800,3, Adj Matrix, CPU Time,0.079384
800,2, Adj List, CPU Time,0.00032,,800,2, Adj Matrix, CPU Time,0.066645
800,1, Adj List, CPU Time,0.00032,,800,1, Adj Matrix, CPU Time,0.130501
550,10, Adj List, CPU Time,0.000208,,550,10, Adj Matrix, CPU Time,0.032407
550,9, Adj List, CPU Time,0.000205,,550,9, Adj Matrix, CPU Time,0.016222
550,8, Adj List, CPU Time,0.000213,,550,8, Adj Matrix, CPU Time,0.014475
550,7, Adj List, CPU Time,0.000212,,550,7, Adj Matrix, CPU Time,0.015598
550,6, Adj List, CPU Time,0.000226,,550,6, Adj Matrix, CPU Time,0.016466
550,5, Adj List, CPU Time,0.000213,,550,5, Adj Matrix, CPU Time,0.019552
550,4, Adj List, CPU Time,0.000221,,550,4, Adj Matrix, CPU Time,0.030284
550,3, Adj List, CPU Time,0.000224,,550,3, Adj Matrix, CPU Time,0.034405
550,2, Adj List, CPU Time,0.000218,,550,2, Adj Matrix, CPU Time,0.021732
550,1, Adj List, CPU Time,0.000231,,550,1, Adj Matrix, CPU Time,0.022221
300,10, Adj List, CPU Time,0.000112,,300,10, Adj Matrix, CPU Time,0.003719
300,9, Adj List, CPU Time,0.000115,,300,9, Adj Matrix, CPU Time,0.006783
300,8, Adj List, CPU Time,0.000113,,300,8, Adj Matrix, CPU Time,0.005067
300,7, Adj List, CPU Time,0.000114,,300,7, Adj Matrix, CPU Time,0.004783
300,6, Adj List, CPU Time,0.000116,,300,6, Adj Matrix, CPU Time,0.003864
300,5, Adj List, CPU Time,0.000115,,300,5, Adj Matrix, CPU Time,0.003591
300,4, Adj List, CPU Time,0.000115,,300,4, Adj Matrix, CPU Time,0.00572
300,3, Adj List, CPU Time,0.000117,,300,3, Adj Matrix, CPU Time,0.005135
300,2, Adj List, CPU Time,0.000116,,300,2, Adj Matrix, CPU Time,0.00584
300,1, Adj List, CPU Time,0.000116,,300,1, Adj Matrix, CPU Time,0.004378
50,10, Adj List, CPU Time,1.8E-05,,50,10, Adj Matrix, CPU Time,9.5E-05
50,9, Adj List, CPU Time,1.6E-05,,50,9, Adj Matrix, CPU Time,0.000134
50,8, Adj List, CPU Time,2E-05,,50,8, Adj Matrix, CPU Time,0.000143
50,7, Adj List, CPU Time,2.4E-05,,50,7, Adj Matrix, CPU Time,0.000108
50,6, Adj List, CPU Time,1.9E-05,,50,6, Adj Matrix, CPU Time,9.8E-05
50,5, Adj List, CPU Time,1.7E-05,,50,5, Adj Matrix, CPU Time,7.5E-05
50,4, Adj List, CPU Time,1.8E-05,,50,4, Adj Matrix, CPU Time,9.6E-05
50,3, Adj List, CPU Time,2.4E-05,,50,3, Adj Matrix, CPU Time,0.000121
50,2, Adj List, CPU Time,2.2E-05,,50,2, Adj Matrix, CPU Time,0.000135
50,1, Adj List, CPU Time,1.8E-05,,50,1, Adj Matrix, CPU Time,9.2E-05
