comp, swap, thresh, size, cpu_time, -->, time
2270000, 0, 240, 228, 0.012738, -->, 0.016s
9320000, 0, -1, 228, 0.254666, -->, 0.258s
2270000, 0, 240, 228, 0.011767, -->, 0.016s
9320000, 0, -1, 228, 0.234558, -->, 0.240s
2270000, 0, 240, 228, 0.011620, -->, 0.016s
9320000, 0, -1, 228, 0.246097, -->, 0.248s
 
2260000, 0, 240, 227, 0.013713, -->, 0.016s
9280000, 0, -1, 227, 0.243515, -->, 0.247s
2260000, 0, 240, 227, 0.011000, -->, 0.016s
9280000, 0, -1, 227, 0.237916, -->, 0.243s
2260000, 0, 240, 227, 0.012938, -->, 0.016s
9280000, 0, -1, 227, 0.246530, -->, 0.248s
2260000, 0, 240, 227, 0.012119, -->, 0.016s
9280000, 0, -1, 227, 0.238851, -->, 0.241s
2260000, 0, 240, 227, 0.011611, -->, 0.016s
9280000, 0, -1, 227, 0.234097, -->, 0.239s
2260000, 0, 240, 227, 0.014277, -->, 0.016s
9280000, 0, -1, 227, 0.241151, -->, 0.244s
2260000, 0, 240, 227, 0.014148, -->, 0.016s
9280000, 0, -1, 227, 0.240450, -->, 0.242s
2260000, 0, 240, 227, 0.011723, -->, 0.016s
9280000, 0, -1, 227, 0.238413, -->, 0.243s
2260000, 0, 240, 227, 0.011999, -->, 0.016s
9280000, 0, -1, 227, 0.238808, -->, 0.244s
2260000, 0, 240, 227, 0.011202, -->, 0.016s
9280000, 0, -1, 227, 0.234012, -->, 0.239s
 
2250000, 0, 240, 226, 0.014249, -->, 0.018s
9230000, 0, -1, 226, 0.242696, -->, 0.246s
2250000, 0, 240, 226, 0.014095, -->, 0.016s
9230000, 0, -1, 226, 0.239998, -->, 0.243s
2250000, 0, 240, 226, 0.013696, -->, 0.016s
9230000, 0, -1, 226, 0.243597, -->, 0.247s
2250000, 0, 240, 226, 0.013262, -->, 0.016s
9230000, 0, -1, 226, 0.239449, -->, 0.245s
2250000, 0, 240, 226, 0.013613, -->, 0.016s
9230000, 0, -1, 226, 0.239778, -->, 0.242s
2250000, 0, 240, 226, 0.011418, -->, 0.016s
9230000, 0, -1, 226, 0.241994, -->, 0.245s
2250000, 0, 240, 226, 0.013809, -->, 0.016s
9230000, 0, -1, 226, 0.236463, -->, 0.240s
2250000, 0, 240, 226, 0.011379, -->, 0.017s
9230000, 0, -1, 226, 0.237453, -->, 0.242s
2250000, 0, 240, 226, 0.011776, -->, 0.016s
9230000, 0, -1, 226, 0.242570, -->, 0.248s
2250000, 0, 240, 226, 0.014614, -->, 0.016s
9230000, 0, -1, 226, 0.236819, -->, 0.242s
 
2240000, 0, 240, 225, 0.013013, -->, 0.016s
9180000, 0, -1, 225, 0.242468, -->, 0.246s
2240000, 0, 240, 225, 0.012762, -->, 0.016s
9180000, 0, -1, 225, 0.239750, -->, 0.242s
2240000, 0, 240, 225, 0.013608, -->, 0.016s
9180000, 0, -1, 225, 0.240457, -->, 0.244s
2240000, 0, 240, 225, 0.013150, -->, 0.016s
9180000, 0, -1, 225, 0.235615, -->, 0.241s
2240000, 0, 240, 225, 0.012142, -->, 0.016s
9180000, 0, -1, 225, 0.238495, -->, 0.242s
2240000, 0, 240, 225, 0.012712, -->, 0.017s
9180000, 0, -1, 225, 0.238522, -->, 0.242s
2240000, 0, 240, 225, 0.013091, -->, 0.017s
9180000, 0, -1, 225, 0.234355, -->, 0.237s
2240000, 0, 240, 225, 0.013869, -->, 0.016s
9180000, 0, -1, 225, 0.240688, -->, 0.244s
2240000, 0, 240, 225, 0.012722, -->, 0.016s
9180000, 0, -1, 225, 0.235487, -->, 0.239s
2240000, 0, 240, 225, 0.014454, -->, 0.017s
9180000, 0, -1, 225, 0.235830, -->, 0.240s
 
2230000, 0, 240, 224, 0.012233, -->, 0.022s
9120000, 0, -1, 224, 0.246175, -->, 0.251s
2230000, 0, 240, 224, 0.012749, -->, 0.016s
9120000, 0, -1, 224, 0.239518, -->, 0.245s
2230000, 0, 240, 224, 0.014106, -->, 0.016s
9120000, 0, -1, 224, 0.232940, -->, 0.236s
2230000, 0, 240, 224, 0.013958, -->, 0.016s
9120000, 0, -1, 224, 0.252120, -->, 0.255s
2230000, 0, 240, 224, 0.012413, -->, 0.016s
9120000, 0, -1, 224, 0.243255, -->, 0.246s
2230000, 0, 240, 224, 0.010451, -->, 0.016s
9120000, 0, -1, 224, 0.233082, -->, 0.238s
2230000, 0, 240, 224, 0.011742, -->, 0.017s
9120000, 0, -1, 224, 0.237732, -->, 0.240s
2230000, 0, 240, 224, 0.014497, -->, 0.016s
9120000, 0, -1, 224, 0.248615, -->, 0.251s
2230000, 0, 240, 224, 0.012781, -->, 0.016s
9120000, 0, -1, 224, 0.234960, -->, 0.240s
2230000, 0, 240, 224, 0.013460, -->, 0.016s
9120000, 0, -1, 224, 0.236000, -->, 0.241s
 
2220000, 0, 240, 223, 0.011844, -->, 0.017s
9100000, 0, -1, 223, 0.237319, -->, 0.240s
2220000, 0, 240, 223, 0.013534, -->, 0.016s
9100000, 0, -1, 223, 0.235702, -->, 0.241s
2220000, 0, 240, 223, 0.012893, -->, 0.016s
9100000, 0, -1, 223, 0.231473, -->, 0.236s
2220000, 0, 240, 223, 0.012236, -->, 0.016s
9100000, 0, -1, 223, 0.233631, -->, 0.239s
2220000, 0, 240, 223, 0.014705, -->, 0.017s
9100000, 0, -1, 223, 0.240186, -->, 0.245s
2220000, 0, 240, 223, 0.014717, -->, 0.016s
9100000, 0, -1, 223, 0.236711, -->, 0.239s
2220000, 0, 240, 223, 0.010987, -->, 0.016s
9100000, 0, -1, 223, 0.245788, -->, 0.248s
2220000, 0, 240, 223, 0.014263, -->, 0.016s
9100000, 0, -1, 223, 0.240693, -->, 0.242s
2220000, 0, 240, 223, 0.012832, -->, 0.016s
9100000, 0, -1, 223, 0.235440, -->, 0.239s
2220000, 0, 240, 223, 0.011498, -->, 0.016s
9100000, 0, -1, 223, 0.233995, -->, 0.237s
 
2210000, 0, 240, 222, 0.011499, -->, 0.016s
9070000, 0, -1, 222, 0.237527, -->, 0.241s
2210000, 0, 240, 222, 0.012966, -->, 0.017s
9070000, 0, -1, 222, 0.237758, -->, 0.240s
2210000, 0, 240, 222, 0.011145, -->, 0.016s
9070000, 0, -1, 222, 0.233060, -->, 0.238s
2210000, 0, 240, 222, 0.012599, -->, 0.016s
9070000, 0, -1, 222, 0.239697, -->, 0.244s
2210000, 0, 240, 222, 0.014621, -->, 0.017s
9070000, 0, -1, 222, 0.239900, -->, 0.242s
2210000, 0, 240, 222, 0.011981, -->, 0.016s
9070000, 0, -1, 222, 0.238956, -->, 0.243s
2210000, 0, 240, 222, 0.014208, -->, 0.017s
9070000, 0, -1, 222, 0.239556, -->, 0.245s
2210000, 0, 240, 222, 0.012141, -->, 0.016s
9070000, 0, -1, 222, 0.231171, -->, 0.233s
2210000, 0, 240, 222, 0.014430, -->, 0.016s
9070000, 0, -1, 222, 0.236555, -->, 0.241s
2210000, 0, 240, 222, 0.011998, -->, 0.016s
9070000, 0, -1, 222, 0.246156, -->, 0.249s
 
2200000, 0, 240, 221, 0.010157, -->, 0.016s
9040000, 0, -1, 221, 0.232874, -->, 0.238s
2200000, 0, 240, 221, 0.012835, -->, 0.016s
9040000, 0, -1, 221, 0.234719, -->, 0.237s
2200000, 0, 240, 221, 0.011869, -->, 0.015s
9040000, 0, -1, 221, 0.230789, -->, 0.236s
2200000, 0, 240, 221, 0.012643, -->, 0.016s
9040000, 0, -1, 221, 0.234688, -->, 0.238s
2200000, 0, 240, 221, 0.013286, -->, 0.016s
9040000, 0, -1, 221, 0.243439, -->, 0.248s
2200000, 0, 240, 221, 0.011304, -->, 0.017s
9040000, 0, -1, 221, 0.233091, -->, 0.238s
2200000, 0, 240, 221, 0.012369, -->, 0.016s
9040000, 0, -1, 221, 0.238964, -->, 0.242s
2200000, 0, 240, 221, 0.010751, -->, 0.016s
9040000, 0, -1, 221, 0.229945, -->, 0.236s
2200000, 0, 240, 221, 0.011147, -->, 0.016s
9040000, 0, -1, 221, 0.241550, -->, 0.245s
2200000, 0, 240, 221, 0.010743, -->, 0.016s
9040000, 0, -1, 221, 0.233686, -->, 0.239s
 
2190000, 0, 240, 220, 0.013653, -->, 0.016s
9000000, 0, -1, 220, 0.243852, -->, 0.247s
2190000, 0, 240, 220, 0.012048, -->, 0.015s
9000000, 0, -1, 220, 0.234989, -->, 0.239s
2190000, 0, 240, 220, 0.013558, -->, 0.015s
9000000, 0, -1, 220, 0.252449, -->, 0.258s
2190000, 0, 240, 220, 0.014491, -->, 0.017s
9000000, 0, -1, 220, 0.232476, -->, 0.238s
2190000, 0, 240, 220, 0.011693, -->, 0.016s
9000000, 0, -1, 220, 0.234471, -->, 0.237s
2190000, 0, 240, 220, 0.013911, -->, 0.017s
